360 m²
152 m²
112 m²
43 m²
2051 m²
131 m²
60 m²
92 m²
80 m²
84 m²
50 m²
50 m²
180 m²
10687 m²
35 m²
193 m²
120 m²
143 m²
24918 m²
115 m²
115 m²
130 m²
68 m²
175 m²
98 m²
221 m²
202 m²
174 m²
87 m²
118 m²
137 m²
98 m²
60 m²
106 m²
101 m²
111 m²
6145 m²
402 m²
402 m²
92 m²
55 m²
649 m²
74 m²
156 m²
96 m²
96 m²
220 m²
105 m²
250 m²
80 m²
94 m²
105 m²
80 m²
80 m²
60 m²
40 m²
40 m²
125 m²
66 m²
184 m²
250 m²
58 m²
10500 m²
100 m²
175 m²
200 m²
159 m²
128 m²
259 m²
105 m²
85 m²
105 m²
57 m²
6161 m²
703 m²
250 m²
1812 m²
1812 m²
7358 m²
7358 m²
1457 m²
410 m²
1150 m²
5321 m²
4022 m²
55 m²
12178 m²
2615 m²
27 m²
130 m²
40 m²
40 m²
22480 m²
100 m²
897 m²
63 m²
47 m²
162 m²
45 m²
154 m²
117 m²
68 m²
193 m²
116 m²
2235 m²
3150 m²
8000 m²
243 m²
169 m²
162 m²
162 m²
266 m²
65 m²
80 m²
36 m²
2272 m²
450 m²
54 m²
130 m²
132 m²
480 m²
106 m²
126 m²
51 m²
390 m²
6500 m²
1200 m²
89 m²
163 m²
63 m²
134 m²
140 m²
96 m²
200 m²
75 m²
76 m²
121 m²
70 m²
71 m²
282 m²
145 m²
110 m²
10000 m²
20000 m²
168 m²
163 m²
171 m²
5324 m²
98 m²
118 m²
76 m²
4400 m²
159 m²
121 m²
332 m²
114 m²
52 m²
94 m²
42 m²
175 m²
65 m²
65 m²
45 m²
170 m²
59 m²
65 m²
115 m²
134 m²
188 m²
192 m²
58 m²
59 m²
106 m²
90 m²
54 m²
54 m²
58 m²
59 m²
106 m²
90 m²
87 m²
70 m²
87 m²
54 m²
42 m²
43 m²
54 m²
200 m²
135 m²
116 m²
184 m²
113 m²
239 m²
932 m²
300 m²
25 m²
250 m²
850 m²
64 m²
343 m²
142 m²
266 m²
46 m²
183 m²
96 m²
172 m²
500 m²
1000 m²
87 m²
93 m²
100 m²
330 m²
200 m²
82 m²
115 m²
660 m²
70 m²
70 m²
184025 m²
400 m²
150 m²
179 m²
216 m²
2282 m²
104 m²
28 m²
93 m²
200 m²
4017 m²
83 m²
126 m²
10276 m²
2630 m²
73 m²
79 m²
88 m²
125 m²
143 m²
60 m²
530 m²
42 m²
120 m²
192 m²
270 m²
270 m²
239 m²
138 m²
204 m²
500 m²
60 m²
67 m²
135 m²
1525 m²
150 m²
205 m²
1346 m²
200 m²
96 m²
130 m²
86 m²
120 m²
125 m²
75 m²
74 m²
78 m²
74 m²
78 m²
74 m²
88 m²
246 m²
220 m²
450 m²
120 m²
87 m²
286 m²
80 m²
64 m²
156 m²
130 m²
180 m²
390 m²
2200 m²
161 m²
124 m²
85 m²
70 m²
95 m²
199 m²
126 m²
42 m²
66 m²
163 m²
336 m²
515 m²
16000 m²
391 m²
25 m²
45 m²
53 m²
90 m²
150 m²
250 m²
93 m²
153 m²
900 m²
1150 m²
4000 m²
85 m²
9500 m²
60 m²
35 m²
173 m²
28 m²
165 m²
172 m²
255 m²
114 m²
130 m²
97 m²
260 m²
200 m²
940 m²
38 m²
617 m²
190 m²
230 m²
46 m²
63 m²
68 m²
370 m²
104 m²
8730 m²
8200 m²
3679 m²
90 m²
80 m²
439 m²
109 m²
35 m²
50 m²
67 m²
150 m²
60 m²
71 m²
110 m²
126 m²
5500 m²
20068 m²
18395 m²
10034 m²
785 m²
4968 m²
6180 m²
945 m²
3679 m²
767 m²
8450 m²
4140 m²
1320 m²
8802 m²
16389 m²
36930 m²
19910 m²
837 m²
14995 m²
13044 m²
2221 m²
7916 m²
716 m²
99 m²
